_,Id,CaseNumber,Ambito__c,Categoria__c,Dettaglio_richiesta__c,Misura__c,Subject,Description,Risoluzione__c,Commenti_Ente__c,Ulteriori_informazioni_a_supporto__c
[Case],5007Q00000ZgiEhQAJ,01154399,Amministrazione,Altro - Servizi Aggiunti,Erogazione delle risorse,1.3.1 PDND,Tempistica liquidazione contributo,"Buongiorno, essendo un piccolo comune ed avendo già ricevuto la fattura relativa ai servizi inseriti nella candidatura 1.3.1 dall'azienda fornitrice, si chiede cortesemente se si conoscono le tempistiche di erogazione del contributo in quanto questo Comune, visto le piccole dimensioni, non ha la possibilità di anticipare la somma fatturata. Cordiali saluti","<p><span style=""font-size: inherit;"">Gentile Eleonora, grazie per averci contattato. </span></p><p><span style=""font-size: inherit;"">Come già riferito in risposta al precedente quesito </span><span style=""font-size: 14px; background-color: rgb(255, 255, 255);"">1154398,</span></p><p><span style=""font-size: inherit;"">ti confermiamo che il progetto si trova ora &quot;in verifica&quot;, cioè in fase di asseverazione formale al termine della quale, in caso di esito positivo, sarà erogato il finanziamento. Ti informiamo che non esiste una tempistica standard da fornirti per questa fase. Ti invitiamo ad attendere l&#39;esito positivo dell&#39;asseverazione od eventuali richieste di integrazione documentale, laddove necessarie. Relativamente al rapporto con il fornitore e agli importi da liquidare, ti informiamo che il dipartimento non interviene nel rapporto tra attuatore ed erogatore/fornitore che è regolato dal contratto tra essi stipulato, anche in tema di corrispettivi e tempistiche di pagamento. Ti ricordiamo, infine, che è possibile corrispondere i dovuti, a titolo di anticipo e/o saldo, ai fornitori in qualsiasi momento. L&#39;articolo 13 dell&#39;Avviso, infatti, sancisce solamente l&#39;obbligo dell&#39;Ente a corrispondere i dovuti ai fornitori, qualora non lo abbia già fatto, a seguito dell&#39;erogazione dell&#39;importo forfettario.</span></p>",,
[Case],5007Q00000ZgiErQAJ,01154400,Processo di adesione e monitoraggio,Altro - Servizi Aggiunti,Variazioni e rinunce,1.2 Abilitazione e facilitazione migrazione al Cloud,Richiesta rappresentante legale per perfezionamento documento di rinuncia alla domanda,Si segnala che quando si cerca di produrre il documento di Rinuncia alla Misura 1.2. il legale rappresentante risulta il prof. DAVID AIROLI - precedente DS - pertanto si richiede la possibilità di poter formulare il documento di rinuncia intestato all'attuale rappresentante legale MARCELLO SOPRANI SPRMCL67T25L682X,"<p>Gentile Marcello, grazie per averci contattato.</p><p>Ti informiamo che la tua segnalazione è stata risolta adesso è possibile procedere con la rinuncia, scaricando nuovamente il pdf di rinuncia, firmandolo digitalmente e caricandolo in piattaforma.</p>",,
[Case],5007Q00000ZgiF6QAJ,01154401,Amministrazione,Altro - Servizi Aggiunti,Erogazione delle risorse,1.4.1 Esperienza dei servizi pubblici,Richiesta stato finanziamento,"Buongiorno, in vista della chiusura d'esercizio 2023 avrei bisogno di sapere a che punto siamo con l'erogazione del finanziamento 1.4.1 oppure se c'è altro da fare.

Cordialmente
Dsga","<p>Gentile Maria Carmela, grazie per averci contattato.</p><p>Ti confermiamo che</p><p>i controlli di conformità tecnica sul progetto 1.4.1 - Esperienza del Cittadino - Scuole - Aprile 2022 relativo all&#39;ente ISTITUTO COMPRENSIVO - I.C. LOMAZZO hanno avuto esito positivo. È dunque possibile per l&#39;amministrazione procedere con la richiesta di erogazione del finanziamento.</p>",,
[Case],5007Q00000ZgiKGQAZ,01154402,Amministrazione,Altro - Servizi Aggiunti,Enti beneficiari,1.4.1 Esperienza dei servizi pubblici,Richiesta di revoca da Amministrazione ISTITUTO PROFESSIONALE PER I SERVIZI ALBERGHIERI E RISTORAZIONE - C. MUSATTI,"La scrivente Leonardi Giuseppina, DirettoreSGA in servizio dal 1° settembre 2023 presso l'ISTITUTO COMPRENSIVO LUIGI NONO - 30034 MIRA (VE), chiede la revoca da I.P. C. MUSATTI DOLO (VE) relativamente a PA DIGITALE 2026, considerata la necessità urgente di essere associata alla Scuola di servizio I.C. LUIGI NONO VEIC868002 e pertanto di potere accedere con SPID all'Amministrazione in cui presta servizio. Grazie","<p>Gentile Giuseppina, grazie per averci contattato.</p><p>Ti suggeriamo, in primis, di registrarti come Rappresentante Legale per un nuovo istituto accendendo in piattaforma nella sezione &quot;La Mia PA&quot;, individuabile cliccando sul tasto relativo al tuo nome, presente in alto a destra nella schermata principale dell&#39;area riservata in piattaforma. Quindi cliccare sul tasto &quot;Associa nuova amministrazione&quot; per avviare la procedura guidata di registrazione per l&#39;ulteriore Istituto da gestire.</p><p>Una volta che sarai registrata per il nuovo istituto, potrai essere revocata dal precedente istituto, se un utente legato al tuo precedente istituto subentra in piattaforma al tuo posto tramite una procedura di subentro:</p><p>- L&#39;utente subentrante procede ad accedere alla piattaforma con il suo Spid e inserisce i dati della PA in cui vuole subentrare</p><p> - La piattaforma segnalerà che la PA è già attiva e chiederà se si vuole procedere ad un subentro. In tal caso, la piattaforma invierà una PEC di &quot;Conferma subentro&quot; all&#39;indirizzo PEC indicato per l&#39;ente.</p><p> - L&#39;utente subentrante confermerà il subentro tramite un click sull&#39;apposito tasto presenta nella PEC di conferma subentro, sarà rimandato alla home page, dove procederà a fare l&#39;accesso con le proprie credenziali, al fine di confermare definitivamente il subentro.</p>",,
[Case],5007Q00000ZgiKaQAJ,01154403,Amministrazione,Altro - Servizi Aggiunti,Tempi e scadenze di realizzazione degli interventi,1.4.1 Esperienza dei servizi pubblici,posticipo scadenza 30 giorni progetto Esperienza del Cittadino - Comuni - Aprile 2022.,"chiediamo urgente riscontro, vista l'imminente scadenza, in merito alla richiesta di posticipo della scadenza per il progetto in oggetto di 30 giorni che ad oggi risulta ancora in valutazione.","<p>Gentile Marco, grazie per averci contattato.</p><p>Ti confermiamo che </p><p>la richiesta di posticipare la data della prossima scadenza del progetto 1.4.1 - Esperienza del Cittadino - Comuni - Aprile 2022 effettuata è in valutazione. Riceverai un riscontro appena possibile.</p>",,
[Case],5007Q00000ZgiO8QAJ,01154404,Processo di adesione e monitoraggio,Altro - Servizi Aggiunti,Variazioni e rinunce,1.4.3 Adozione appIO,ritardo nella ricezione di anomalie segnalate alla V.a mail,"Si segnala ritardo nella risposta a mail di chiarimento per servizi errati o doppi impediscono affidamento del servizio in oggetto.
Abbiamo provveduto a segnalare le mail:

tributi@comune.roggianogravina.cs.it
17/11 13:15
A: duplicati_p
A:	duplicati_p@pagopa.it
Priorità alta
Buongiorno,

con la presente per conoscere se nella domanda di partecipazione al bando di cui alla misura 1.4.3 App IO da parte del Comune di Roggiano Gravina sono presenti servizi duplicati.
In attesa di riscontro si porgono Cordiali saluti

Dr Antonio D'Ambrosio
Responsabile Settore Tributi
Comune di Roggiano Gravina
0984/1526263
tributi@comune.roggianogravina.cs.it
17/11 13:13
A: duplicati_i
A:	duplicati_i@pagopa.it
Priorità alta
Buongiorno,

con la presente per conoscere se nella domanda di partecipazione al bando di cui alla misura 1.4.3 App IO da parte del Comune di Roggiano Gravina sono presenti servizi non conformi.
In attesa di riscontro si porgono saluti.

Dr Antonio D'Ambrosio
Responsabile Settore Tributi
Comune di Roggiano Gravina
0984/1526263

Sarebbe opportuno chiarimento con FAQ e comunque rinvio per una misura che rischiamo di perdere tutti i comuni.
si ringrazia","<p>Gentile Antonio, grazie per averci contattato. Ti invitiamo a richiedere il supporto all&#39;account manager del tuo territorio, utilizzando il Form all’indirizzo che segue:<a href="" https://padigitale2026.gov.it/team-territoriali"" target=""_blank""> https://padigitale2026.gov.it/team-territoriali</a>, per un&#39;analisi di dettaglio della tua candidatura e per una completa valutazione dei servizi da inserire eventualmente nell&#39;istanza di modifica. </p>",,
[Case],5007Q00000ZgiP6QAJ,01154405,Implementazione e sviluppo progetto,Altro - Servizi Aggiunti,Implementazione del progetto e dei servizi,1.4.3 Adozione appIO,Dichiarazione di conferma dei servizi in App IO (Allegato 2),"Buongiorno, segnalo che ci è pervenuta questa richiesta da PA Digitale: ""a seguito della PEC inviata all'ente da PagoPA S.p.A. e relativa alla misura 1.4.3 app IO, invitiamo ad effettuare una sola delle azioni descritte nella PEC medesima. Ricordiamo inoltre, che in mancanza di una scelta o nel caso di doppia scelta, la candidatura non potrà proseguire alla fase di asseverazione"".
Il Comune di Caltignaga aveva già manifestato con pec inviata in data 20/09/2023 (ns. prot. 2424) la scelta di mantenere la struttura dei servizi presente nella domanda di partecipazione, compilando il modulo ""allegato 2"". Per sicurezza in data odierna abbiamo rimandato via PEC lo stesso modulo (ns. prot. 2974).","<p><span style=""font-size: 14px;"">Gentile Luana, grazie per averci contattato. </span><span style=""font-size: 14px; background-color: rgb(255, 255, 255);"">ti confermiamo l&#39;avvenuta ricezione. Ti invitiamo ad attendere.</span></p>",,
[Case],5007Q00000ZgiRHQAZ,01154406,Amministrazione,Altro - Servizi Aggiunti,Tempi e scadenze di realizzazione degli interventi,1.4.4 Adozione identità digitale,scadenza del progetto,"Buongiorno,
ho notato che la data di scadenza del progetto è variata dal 06.11.2023 al 05.03.2024 pur non avendo chiesto la proroga.
Vorrei conferma di tale data per poter completare il progetto.
Distinti saluti","<p>Gentile Giovanni, grazie per averci contattato.</p><p>Ti confermiamo che la data contrattualizzazione è il 5/03/2024 (calcolato 360 giorni dalla data del decreto + 120 giorni del decreto proroga n. 114/2023).</p>",,
[Case],5007Q00000ZgiSeQAJ,01154407,Malfunzionamenti Piattaforma,Altro - Servizi Aggiunti,Anagrafica dati,Nessuno,inserire il Rappresentante legale come amministratore,Il Rappresentante Legale del Comune di Lentella - Marco Mancini - è stato inserito come INCARICATO dal precedente Responsabile che adesso si è cancellato - ANTONELLA D'ASCANIO. Si Chiedo di sapere come procedere per far si che il Rappresentante Legale Marco Mancini sia amministratore della Piattaforma e possa cosi incaricare eventuali collaboratori.,"<p><span style=""font-family: Calibri, Arial; font-size: 11pt; color: rgb(0, 0, 0);"">Gentile Marco, grazie per averci contattato. L&#39;utenza per Marco Mancini è stata correttamente attivata come richiesto.</span></p>",,
[Case],5007Q00000ZgiTSQAZ,01154408,Processo di adesione e monitoraggio,Altro - Servizi Aggiunti,Controlli,1.4.1 Esperienza dei servizi pubblici,ASSEVERAZIONE SITO WEB. SOLLECITO,"Avendo avviato la richiesta di asseverazione del sito web in data 13.07.2023, si chiede di conoscere i tempi di verifica dello stato della stessa, sottolineando che non si conoscono i tempi di chiusura della procedura di asseverazione del sito web (rendicontazione e chiusura progetto 31.12.2024). Al momento non risultano in bacheca vostre richieste di rettifica, modifica o chiarimenti.","<p>Gentile Sabrina, grazie per averci contattato.</p><p>Ti informiamo che, effettuate le dovute verifiche, il progetto per la misura 1.4.1 risulta correttamente completato ed in stato &quot;In verifica&quot;.</p><p>Al termine delle verifiche relative alla fase di asseverazione, potrai richiedere il finanziamento attraverso la Piattaforma.</p><p>Ti informiamo che non è prevista una tempistica standard da fornirti in merito alla durata della verifica del progetto, pertanto ti invitiamo ad attendere.</p>",,
[Case],5007Q00000ZgiTUQAZ,01154471,Amministrazione,Altro - Servizi Aggiunti,Erogazione delle risorse,1.4.5 Digitalizzazione degli avvisi pubblici,chiusura progetto misura 1.4.5,"Nel completare le fasi di attuazione del progetto 1.4.5 è stata erroneamente attivata la chiusura della progettazione senza aver caricato la parte di documentazione da inviare.
Si richiede la possibilità di apertrua e recupero della fase al fine di portare a completamento il proggetto con esecuzione corratta dei passaggi.
Grazie","<p>Gentile Maria Vittoria, grazie per averci contattato. Il progetto &quot;in verifica&quot; non è modificabile e non è possibile riportare il progetto nello stato precedente. Eventuali integrazioni necessarie verranno evidenziate in fase di asseverazione in piattaforma con apposita notifica e verrà resa disponibile all&#39;ente la possibilità di effettuare le opportune modifiche. A seguito dei controlli, verranno inoltre evidenziate eventuali anomalie o incongruenze. In tal caso verranno proposte eventuali azioni correttive, da implementare nel rispetto delle tempistiche stabilite dal cronoprogramma. Potrai, dunque, procedere alle modifiche necessarie una volta terminato il processo di verifica da parte dell&#39;asseverazione</p>",,
[Case],5007Q00000ZgiUGQAZ,01154409,Amministrazione,Altro - Servizi Aggiunti,Tempi e scadenze di candidatura,1.2 Abilitazione e facilitazione migrazione al Cloud,proroga,In data 03.11.2023 è stata chiesta la proroga della scadenza ci sono novità?,"<p>Gentile Giovanni, grazie per averci contattato. Ti informiamo che non possiamo fornirti una tempistica standard relativa all&#39;approvazione delle richieste di proroga. Ti invitiamo ad attendere l&#39;esito della richiesta.</p>",,
[Case],5007Q00000ZgiUzQAJ,01154410,Processo di adesione e monitoraggio,Altro - Servizi Aggiunti,Rendicontazione e documenti giustificativi,1.4.3 Adozione pagoPA,invio documentazione per erogazione contributo,"Abbiamo superato positivamente la fase di asseverazione tecnica e ci apprestiamo ad inviare la documentazione necessaria per avviare la fase di asseverazione formale e erogazione del contributo. Giunti alla fase 5, abbiamo caricato l'ALLEGATO 5 ed il CRE, tuttavia la piattaforma ci richiede l'invio di un ulteriore documento firmato digitalmente per consentire l'attivazione del tasto invio.  L'avviso 1.4.3 PagoPa ""Comuni aprile 2022"" cui abbiamo partecipato prevedeva l'invio del solo CRE, e, solo come documento eventuale della ""eventuale check list secondo le linee guida dall'ALL 4"". L'ALL 4 tuttavia era relativo al DNSH, che tuttavia, come da circolare del 13.10.2022 non si applica alla misura in oggetto.","<p>Gentile Enrico, grazie per averci contattato. Da verifiche effettuate, la procedura di richiesta erogazione finanziamento non risulta andata a buon fine in quanto il CRE risulta caricato in pades. Ti ricordiamo che il certificato di regolare esecuzione del RUP deve essere firmato digitalmente in formato p7m caricandolo nell&#39;apposita sezione &quot;Documenti RUP e altri allegati&quot;.</p><p>Soltanto a seguito di tale operazione, potrai inoltrare correttamente la richiesta di erogazione del finanziamento, firmata in p7m dal Legale Rappresentante.</p><p><br></p><p>Se la problematica dovesse persistere nonostante il caricamento del CRE in p7m, ti preghiamo di non rimuovere i documenti anche qualora ci sia un messaggio di errore e di aprire una nuova richiesta di assistenza da area privata per segnalarci il malfunzionamento, allegando screenshot dell’errore. </p><p><br></p>",,
[Case],5007Q00000ZgiXVQAZ,01154452,Malfunzionamenti Piattaforma,Altro - Servizi Aggiunti,Malfunzionamento della Piattaforma,1.2 Abilitazione e facilitazione migrazione al Cloud,“Avviso Investimento 1.2 “Abilitazione al Cloud per le PA Locali ”Scuole - dicembre 2022”. Rinuncia al Finanziamento Avviso Pubblico,"misura 1.2 ""Abilitazione e facilitazione migrazione al cloud""
vogliate procedere ad accogliere la ns. richiesta di RINUNCIA al progetto misura 1.2 ""Abilitazione e facilitazione migrazione al cloud"" per ERRATA COMPOSIZIONE DEL PACCHETTO.
pur provando ad effettuare la rinuncia attraverso apposita funzione, il file non viene accettato dal sistema a causa del disallineamento tra il precedente Dirigente e la Scrivente , attuale Dirigente, Francesca Federica Frezza.
Certi in un vostro positivo e celere riscontro, porgo cordiali saluti.
Il Dirigente Scolastico Francesca Federica Frezza
allego documento di rinuncia firmato digitalmente","<p><span style=""color: rgb(68, 68, 68); font-family: -apple-system, Arial; font-size: 11pt;"">Gentile Francesca, da verifiche effettuate il sistema non rileva nessuna anomalia, pertanto è possibile continuare con la rinuncia al finanziamento.</span></p>",,
[Case],5007Q00000ZgiXeQAJ,01154411,Malfunzionamenti Piattaforma,Altro - Servizi Aggiunti,Firma digitale della domanda di finanziamento,1.4.3 Adozione appIO,non si riesce a caricare il documento firmato dal sindaco,"Buongiorno , 
stiamo cercando di caricare l'istanza di modifica firmata dal Sindaco , ma la piattaforma non riconosce il documento che è di fatto corretto. Si prega di  risolvere velocemente la questione. Grazie","<p><span style=""font-family: Calibri, Arial; font-size: 11pt; color: rgb(0, 0, 0);"">Gentile Roberta, grazie per averci contattato. Affinché si possa completare correttamente la procedura di caricamento dell&#39;allegato firmato digitalmente, è necessario assicurarsi che, una volta creato e scaricato il documento da firmare, esso non subisca ulteriori salvataggi. Ad esempio è necessario che non si salvi con nome e/o che non vengano effettuate operazioni di &quot;copia e incolla&quot;.  Tali azioni, infatti, determinerebbero una modifica della natura del file, rendendolo inaccettabile dalla piattaforma.  Ti suggeriamo quindi di eliminare il documento firmato che genera errore e, a partire dall&#39;allegato in PDF generato dalla piattaforma, ripetere la procedura seguendo le indicazioni.</span></p>","Lo abbiamo già fatto e provato varie volte. 
Come abbiamo caricato tutti gli altri documenti . Quindi vi chiedo gentilmente di provvedere a caricarlo voi.
Grazie","<p>Gentile Roberta, da verifiche hai correttamente caricato il documento firmato digitalmente. I servizi sono stati sostituiti correttamente.</p>"
[Case],5007Q00000ZgiYSQAZ,01154412,Processo di adesione e monitoraggio,Altro - Servizi Aggiunti,Variazioni e rinunce,1.4.3 Adozione appIO,ritardo in risposta alle mail di chiarimento doppioni servizi,"Si segnala ritardo nella risposta a mail di chiarimento per servizi errati o doppi impediscono affidamento del servizio in oggetto.
Abbiamo provveduto a segnalare le mail:

tributi@comune.roggianogravina.cs.it
17/11 13:15
A: duplicati_p
A:	duplicati_p@pagopa.it
Priorità alta
Buongiorno,

con la presente per conoscere se nella domanda di partecipazione al bando di cui alla misura 1.4.3 App IO da parte del Comune di Roggiano Gravina sono presenti servizi duplicati.
In attesa di riscontro si porgono Cordiali saluti

Dr Antonio D'Ambrosio
Responsabile Settore Tributi
Comune di Roggiano Gravina
0984/1526263
tributi@comune.roggianogravina.cs.it
17/11 13:13
A: duplicati_i
A:	duplicati_i@pagopa.it
Priorità alta
Buongiorno,

con la presente per conoscere se nella domanda di partecipazione al bando di cui alla misura 1.4.3 App IO da parte del Comune di Roggiano Gravina sono presenti servizi non conformi.
In attesa di riscontro si porgono saluti.

Dr Antonio D'Ambrosio
Responsabile Settore Tributi
Comune di Roggiano Gravina
0984/1526263

Sarebbe opportuno chiarimento con FAQ e comunque rinvio per una misura che rischiamo di perdere tutti i comuni.
si ringrazia","<p>Gentile Antonio, grazie per averci contattato. Provvediamo a chiudere questa richiesta di assistenza in quanto già risolta con ticket <span style=""font-size: 12px; color: rgb(1, 68, 134); background-color: rgb(255, 255, 255);"">01154404.</span></p>",,
[Case],5007Q00000ZgibbQAB,01154416,Implementazione e sviluppo progetto,Altro - Servizi Aggiunti,Implementazione del progetto e dei servizi,1.4.3 Adozione appIO,Richiesta informazioni su data scadenza 1.4.3. appIO - ULTIMA SCADENZA: 30/11/2023,"Buongiorno,
si richiede in quale modo è possibile capire perché la data di scadenza associata alla misura 1.4.3. AppIO risulta al 30/11/2023. E' perché nella PEC inviata da pagopa SPA c'è un termine prestabilito? Oppure è un errore della piattaforma PaDigitale2026? A noi risulta che siamo in fase post contrattualizzazione e avviamento attività per completare e mandare in asseverazione il progetto. Dovremmo probabilmente completare la parte dell'istanza di modifica, ma comunque la data ultima risulta tra 69 giorni per completare il progetto.
Si allega screen di quello che compare nella ""Scrivania"".

Chiediamo un supporto e una spiegazione al fine di procedere in maniera corretta
Cordialmente","<p><span style="""">Gentile Gabriele, grazie per averci contattato. Ti informiamo che la card che compare in scrivania è per ricordare di compiere una delle azioni indicate nella pec di PagoPA che il tuo ente ha già effettuato inviando l&#39;istanza di modifica. Ti invitiamo ad attendere l&#39;esito dell&#39;istanza e successivamente procedere all&#39;implementazione dei servizi. La scadenza del 30/11 è riferita al compimento di una delle azioni richieste nella PEC.</span></p><p><br></p>",,
[Case],5007Q00000Zgic9QAB,01154449,Malfunzionamenti Piattaforma,Altro - Servizi Aggiunti,Malfunzionamento della Piattaforma,,Asseverazione - 1.4.3 PagoPA Comune di Vita - Stato in progetto IN VERIFICA senza creazione task asseverazione,"Buongiorno, il Comune di Vita candidatura 1.4.3 PagoPA era stato asseverato con esito PARZIALE in data 13/11/2023,  ore11:34. Il giorno 16/11/2023 ore 12:57 ha richiesto una proroga, che gli è stata accordata (il che suggerisce che il task fosse stato precedentemente esitato in maniera corretta, tale da permettere all'ente di fare richiesta variazione cronoprogramma). Ad oggi il progetto risulta nuovamente IN VERIFICA senza che sia stata creata una task asseverazione. Chiediamo gentilmente chiarezza sull'effettivo stato di questa candidatura. Grazie","<p>Gentile Utente, grazie per averci contattato. La tua segnalazione è stata risolta ed il task è stato creato dalla piattaforma. </p>",,
[Case],5007Q00000ZgiibQAB,01154476,Amministrazione,Altro - Servizi Aggiunti,Erogazione delle risorse,1.4.1 Esperienza dei servizi pubblici,Riscontro alla Richiesta ID 01152523,"In riferimento alla vs. comunicazione di cui in oggetto, si segnala che la problematica risulta non risolta in quanto dopo avere caricato la documentazione richiesta, non si attiva il pulsante invia.
In attesa di sollecito riscontro, si porgono distinti saluti.","<p><span style="""">Gentile Loreta, grazie per averci contattato.</span></p><p><span style="""">Da verifiche effettuate, il certificato di regolare esecuzione è stato firmato digitalmente in formato PADES (.pdf).</span></p><p><span style="""">Ti informiamo che il certificato di regolare esecuzione deve essere firmato digitalmente dal RUP in formato CADES (.p7m).</span></p><p><span style="""">A valle del corretto caricamento del certificato di regolare esecuzione, secondo le istruzioni sopra fornite, qualora la criticità segnalata dovesse persistere, ti chiediamo gentilmente di rispondere alla presente o di aprire una nuova richiesta di supporto.</span></p><p><br></p>",,
[Case],5007Q00000ZgiivQAB,01154451,Malfunzionamenti Piattaforma,Altro - Servizi Aggiunti,Upload di documenti,1.4.3 Adozione appIO,Riconoscimento firma digitale documento,"Buongiorno,

sto cercando di caricare il contratto per l'avviso in oggetto, dopo aver corretto la candidatura per duplicazione delle tipologie di avviso in appIO.
Nonostante sia un file .p7m, firmato digitalmente, che nel nostro sistema viene riconosciuto come valido e anche tutte le firme come valide, ricevo il messaggio di errore come firma non valida o non riconosciuta.
Il file pesa 188 kb, ampiamente sotto ai limiti previsti.
Cosa potrebbe essere?
Allego il file per eventuali verifiche.
Grazie per l'aiuto e buona giornata
Lorella","<p>Gentile Lorella, grazie per averci contattato.</p><p>Ti chiediamo gentilmente di rispondere alla presente segnalazione, specificando i servizi oggetto di fornitura a cui associare ogni contratto , la ragione sociale del fornitore/soggetto realizzatore e la relativa data di contrattualizzazione. Dopo aver ricevuto questa informazione provvederemo ad inserire in piattaforma il contratto associandolo al relativo/i servizio/i</p>","Buongiorno,

la data di contrattualizzazione ai fini PNRR per l'avviso 1.4.3 AppIO di cui trattasi è la data di affidamento e della relativa determinazione, n. 123 del 06/02/2023.
In data 29/05/2023 è stata sottoscritta una scrittura privata con il fornitore Maggioli Spa, dopo l'esecuzione dei controlli di legge, ma il servizio era già preventivamente in esecuzione con la determinazione sopra citata, essendo fornitore abituale del Comune.
Il ministero ha scritto per richiedere di verificare alcune tipologie di avviso e quindi abbiamo inserito della richiesta di modifica del ministero, ma non abbiamo operato una novazione di contratto e quindi il documento che stavo cercando di inserire era la stessa scrittura privata di cui sopra.

Quindi:
avviso 1.4.3 AppIO
oggetto tutte le tipologie di avviso nuove
fornitore Maggioli spa
data contrattualizzazione pnrr 06/02/2023
data scrittura privata 29/05/2023

Grazie e buon lavoro
Lorella","<p>Gentile Lorella, grazie per averci contattato.</p><p>La tua segnalazione è stata risolta e puoi ora procedere con il caricamento dei contratti, anche multifirma.</p>"
[Case],5007Q00000ZgivdQAB,01154459,Amministrazione,Altro - Servizi Aggiunti,Tempi e scadenze di realizzazione degli interventi,1.4.1 Esperienza dei servizi pubblici,Richiesta risorse,"Buongiorno,
Facendo seguito all'ultima richiesta di integrazione a valere sull'avviso in oggetto, completata come da Vostre indicazioni, e in previsione della chiusura dell'esercizio finanziario, sono a richiedere quali possano essere i tempi di erogazione delle risorse per il buon esito della nuova programmazione finanziaria annuale di questa istituzione Scolastica.
Sperando in un celere riscontro, saluto cordialmente.
Il DSGA
Cinzia Atticciati.","<p>Gentile Cinzia, grazie per averci contattato.</p><p>Da verifiche effettuate, il progetto per la misura 1.4.1 risulta regolarmente in stato &quot;In verifica&quot; da parte degli asseveratori. Dovrai, dunque, attendere i tempi di verifica della richiesta da parte degli asseveratori. Non è prevista una tempistica standard per la verifica, tale tempistica è ignota a questo HelpDesk. Al termine della verifica si procederà all&#39;erogazione del finanziamento.</p><p>Ti suggeriamo di attendere.</p>",,
[Case],5007Q00000Zgj0DQAR,01154450,Processo di adesione e monitoraggio,Altro - Servizi Aggiunti,Controlli,1.4.3 Adozione appIO,Adeguamento progetto 1.4.3 - mancata ricezione pec,"Buongiorno, con la presente sono a segnalare che quest'ufficio non ha ricevuto alcuna pec contenente le indicazioni per procedere correttamente alle azioni di adeguamento dei servizi per il progetto 1.4.3 - app IO - Comuni - Aprile 2022 per Comune di Villa Guardia. 
Si prega cortesemente di fornire, nel caso di problematiche tecniche anche mediante mail all''indirizzo ragioneria@comune.villaguardia.co.it, le dovute indicazioni per consentire il rispetto del termine previsto. Cordiali saluti.","<p>Gentile Damiano, grazie per averci contattato.</p><p>Ti informiamo che la comunicazione PEC è stata inviata da PagoPa, pertanto in caso di mancato recapito ti invitiamo a rivolgerti a PagoPa, scrivendo al seguente indirizzo email: <a href=""mailto:duplicati_p@pagopa.it"" target=""_blank"">duplicati_p@pagopa.it</a>. </p><p>Ti suggeriamo in ogni caso di richiedere supporto all&#39;account manager del tuo territorio, utilizzando il Form all’indirizzo che segue: <a href=""https://padigitale2026.gov.it/team-territoriali"" target=""_blank"">https://padigitale2026.gov.it/team-territoriali</a>, per un&#39;analisi di dettaglio della tua candidatura, per individuare i servizi non coerenti con il Catalogo pubblicato e per il supporto necessario nell&#39;inserimento della Richiesta di Istanza di Modifica.</p>","Conosco già i servizi analoghi o frammentati, e ho quindi chiesto in data 16/11/2023 la modifica di 4 servizi su questo portale qualche giorno fa. Prima di procedere all'individuazione di quelli nuovi al posto di quelli da sostituire, risulta inviata una pec, che non ho mai ricevuto, con le indicazioni su come procedere con la sostituzione. Resto in attesa di riscontro. Grazie.","<p>Gentile Damiano, grazie per averci contattato. Ti informiamo che abbiamo provveduto a sollecitare PagoPa per il reinoltro della PEC. Ad ogni modo, per la sostituzione dei servizi è necessario in primis attendere l&#39;esito dell&#39;istanza, che al momento è in valutazione, successivamente sarà possibile entrare nel progetto e seguire gli step della piattaforma.</p>"
